day,title,money_spent,views,clicks,click_price,total_revenue,ordered_units,total_drr_pct,ctr,cr,Изменение bid,Комментарий к bid
2026-01-05,"Чай зеленый китайский листовой Ганпаудер, 50г",47,923,18,2.6,0,0,0,2,0,,
2026-01-06,"Чай зеленый китайский листовой Ганпаудер, 50г",41,1191,14,2.9,0,0,0,1.2,0,,
2026-01-07,"Чай зеленый китайский листовой Ганпаудер, 50г",64,1156,22,2.9,0,0,0,1.9,0,,
2026-01-08,"Чай зеленый китайский листовой Ганпаудер, 50г",39,1191,13,3,0,0,0,1.1,0,,
2026-01-09,"Чай зеленый китайский листовой Ганпаудер, 50г",37,1073,13,2.9,0,0,0,1.2,0,,
2026-01-10,"Чай зеленый китайский листовой Ганпаудер, 50г",38,1152,13,2.9,210,1,18,1.1,7.7,,
2026-01-11,"Чай зеленый китайский листовой Ганпаудер, 50г",65,1290,22,3,0,0,0,1.7,0,,
2026-01-12,"Чай зеленый китайский листовой Ганпаудер, 50г",95,1388,24,3.9,420,2,22.6,1.7,8.3,,
2026-01-13,"Чай зеленый китайский листовой Ганпаудер, 50г",93,975,23,4,420,2,22.1,2.4,8.7,,
2026-01-14,"Чай зеленый китайский листовой Ганпаудер, 50г",146,1637,37,3.9,630,3,23.1,2.3,8.1,,
2026-01-15,"Чай зеленый китайский листовой Ганпаудер, 50г",166,1705,43,3.9,630,3,26.4,2.5,7,,
2026-01-16,"Чай зеленый китайский листовой Ганпаудер, 50г",126,1522,33,3.8,420,2,30.1,2.2,6.1,,
2026-01-17,"Чай зеленый китайский листовой Ганпаудер, 50г",96,1321,25,3.9,630,3,15.3,1.9,12,,
2026-01-18,"Чай зеленый китайский листовой Ганпаудер, 50г",46,1427,13,3.6,0,0,0,0.9,0,,
2026-01-19,"Чай зеленый китайский листовой Ганпаудер, 50г",51,1137,12,4.3,0,0,0,1.1,0,,
2026-01-20,"Чай зеленый китайский листовой Ганпаудер, 50г",94,1507,23,4.1,420,2,22.3,1.5,8.7,,
2026-01-21,"Чай зеленый китайский листовой Ганпаудер, 50г",93,1448,24,3.9,420,2,22.2,1.7,8.3,,
2026-01-22,"Чай зеленый китайский листовой Ганпаудер, 50г",71,1486,20,3.6,210,1,33.9,1.3,5,,
2026-01-23,"Чай зеленый китайский листовой Ганпаудер, 50г",82,1669,20,4.1,0,0,0,1.2,0,,
2026-01-24,"Чай зеленый китайский листовой Ганпаудер, 50г",116,1723,28,4.1,210,1,55.3,1.6,3.6,,
2026-01-25,"Чай зеленый китайский листовой Ганпаудер, 50г",120,2889,31,3.9,840,4,14.3,1.1,12.9,,
2026-01-26,"Чай зеленый китайский листовой Ганпаудер, 50г",106,2013,27,3.9,420,2,25.2,1.3,7.4,,
2026-01-27,"Чай зеленый китайский листовой Ганпаудер, 50г",108,2420,29,3.7,0,0,0,1.2,0,,
2026-01-28,"Чай зеленый китайский листовой Ганпаудер, 50г",190,2999,46,4.1,417,2,45.4,1.5,4.3,,
2026-01-29,"Чай зеленый китайский листовой Ганпаудер, 50г",131,2377,38,3.5,210,1,62.5,1.6,2.6,4 -> 3,пробуем снизить дрр до 20%
2026-01-30,"Чай зеленый китайский листовой Ганпаудер, 50г",94,1602,32,2.9,420,2,22.3,2,6.2,,
2026-01-31,"Чай зеленый китайский листовой Ганпаудер, 50г",49,1068,16,3.1,0,0,0,1.5,0,,
